Moeda,Preço,Volume em 24 h,Capitalização de mercado,FDV
A Hunters Dream  CAW,"US$ 0,074877",US$ 1.407.548,US$ 31.050.121,US$ 32.513.215
Aave  AAVE,"US$ 172,96",US$ 241.660.246,US$ 2.612.711.133,US$ 2.767.607.136
Aavegotchi  GHST,"US$ 0,5299",US$ 6.609.905,US$ 27.104.825,US$ 27.947.559
Abster  ABSTER,"US$ 0,01058","US$ 48.335,08",US$ 10.473.211,US$ 10.473.211
aBTC  ABTC,"US$ 94.974,14",US$ 480.218,US$ 239.092.018,US$ 239.092.018
AC Milan Fan Token  ACM,"US$ 0,8366",US$ 2.286.101,US$ 6.323.891,US$ 16.663.720
Acala  ACA,"US$ 0,03607",US$ 10.146.681,US$ 42.073.539,US$ 57.700.853
Access Protocol  ACS,"US$ 0,001818",US$ 11.362.147,US$ 74.742.719,US$ 160.986.600
Acet  ACT,"US$ 0,0596",US$ 864.963,US$ 101.881.978,US$ 132.919.289
Acolyt  ACOLYT,"US$ 0,0125",US$ 259.755,US$ 12.413.128,US$ 12.413.128
Across Protocol  ACX,"US$ 0,2286",US$ 11.610.101,US$ 95.017.957,US$ 228.575.999
Act I The AI Prophecy  ACT,"US$ 0,06195",US$ 66.475.025,US$ 58.769.880,US$ 58.769.880
Adappter  ADP,"US$ 0,001833",US$ 371.634,US$ 7.578.272,US$ 18.327.880
AdEx  ADX,"US$ 0,1013",US$ 5.520.844,US$ 14.978.113,US$ 15.190.784
Adshares  ADS,"US$ 0,5216","US$ 29.507,40",US$ 20.299.086,US$ 20.310.513
Adventure Gold  AGLD,"US$ 0,9113",US$ 20.955.593,US$ 84.563.463,US$ 84.563.463
Advertise Coin  ADCO,"US$ 0,4001","US$ 5.287,30",US$ 18.010.586,US$ 20.011.763
Aegis YUSD  YUSD,"US$ 0,9995",US$ 317.494,US$ 16.830.191,US$ 16.830.191
aelf  ELF,"US$ 0,2465",US$ 4.710.950,US$ 182.346.227,US$ 245.653.034
Aergo  AERGO,"US$ 0,2025",US$ 76.382.057,US$ 95.574.274,US$ 101.136.798
AEROBUD  AEROBUD,"US$ 0,008752",US$ 279.616,US$ 8.734.963,US$ 8.734.963
Aerodrome Finance  AERO,"US$ 0,6399",US$ 41.880.582,US$ 516.266.451,US$ 1.021.094.601
Aeternity  AE,"US$ 0,01759",US$ 323.060,US$ 7.621.778,US$ 9.439.306
Aethir  ATH,"US$ 0,03034",US$ 18.376.950,US$ 257.234.957,US$ 1.274.131.387
Aevo  AEVO,"US$ 0,1207",US$ 20.186.901,US$ 109.446.362,US$ 121.178.426
AGENDA 47  A47,"US$ 0,02628",US$ 835.393,US$ 26.318.531,US$ 26.318.531
AgentFun.AI  AGENTFUN,"US$ 1,91","US$ 5.280,41",US$ 191.172.451,US$ 191.172.451
AGiXT  AGIXT,"US$ 0,008597",US$ 1.938.249,US$ 8.587.220,US$ 8.587.220
Agoras: Tau Net  AGRS,"US$ 0,662","US$ 82.572,33",US$ 11.915.979,US$ 27.803.952
Agoric  BLD,"US$ 0,02044",US$ 186.972,US$ 13.828.915,US$ 21.929.880
AhaToken  AHT,"US$ 0,004182",US$ 850.790,US$ 26.483.487,US$ 32.321.524
